River,Fishno,Sex,Distance,Index
Appomattox,190,F,1113.663,464
Appomattox,191,F,1161.738,484
Appomattox,193,F,1241.109,517
Appomattox,199,F,1265.1633,527
Appomattox,200,F,1144.9017,477
Appomattox,197,M,1075.149,448
Appomattox,204,M,993.369,414
Appomattox,205,M,1130.469,471
Appomattox,207,M,844.245,352
Appomattox,211,M,1154.5227,481
Cashie,609,F,952.479,397
Cashie,612,F,1070.337,447
Cashie,613,F,1294.026,539
Cashie,614,F,844.245,353
Cashie,618,F,1140.09,352
Cashie,603,M,1046.286,434
Cashie,604,M,1183.383,493
Cashie,605,M,1140.09,475
Cashie,607,M,952.482,397
Cashie,608,M,1070.3367,446
James,172,F,1096.794,457
James,175,F,1188.195,497
James,176,F,1250.73,521
James,180,F,1286.8107,536
James,538,F,1091.9853,453
James,160,M,1022.232,425
James,170,M,1017.42,424
James,174,M,1164.141,485
James,184,M,1087.176,453
James,185,M,1096.7967,457
Potomac,1030,F,1070.3367,446
Potomac,1031,F,1274.784,531
Potomac,1032,F,1164.144,484
Potomac,1033,F,1575.4404,656
Potomac,1049,M,971.721,404
Potomac,1050,M,1269.972,528
Potomac,1051,M,1260.354,523
Potomac,1052,M,988.56,411
Rappahannock,216,F,1147.308,478
Rappahannock,226,F,1173.765,489
Rappahannock,230,F,1176.171,489
Rappahannock,231,F,1253.136,522
Rappahannock,239,F,1176.1677,490
Rappahannock,223,M,1072.743,447
Rappahannock,225,M,1294.0297,539
Rappahannock,234,M,990.963,413
Rappahannock,236,M,1279.596,533
Rappahannock,237,M,1060.716,442
Swift,832,F,1142.496,476
Swift,833,F,1171.359,488
Swift,834,F,1243.515,518
Swift,857,F,1135.281,472
Swift,858,F,1221.8667,509
Swift,824,M,1164.141,485
Swift,825,M,1137.684,474
Swift,826,M,1082.364,451
Swift,827,M,921.213,384
Swift,829,M,1027.0437,428
Blackwater,581,F,1135.278,473
Blackwater,585,F,1106.418,461
Blackwater,594,F,1048.692,437
Blackwater,595,F,1140.09,475
Blackwater,598,F,1123.251,468
Blackwater,580,M,1055.907,439
Blackwater,586,M,923.619,384
Blackwater,587,M,1000.5843,417
Blackwater,588,M,976.5327,407
Blackwater,597,M,1067.934,445
Contenea,867,F,1310.865,546
Contenea,876,F,1147.308,478
Contenea,878,F,1123.254,467
Contenea,879,F,1116.0363,464
Contenea,871,M,1075.149,448
Contenea,873,M,1072.7433,447
Contenea,874,M,1144.899,477
